% Moku:Lab Frequency Response Analyzer
% Measurement mode: Input (dBm)
% Channel 1 (on), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 800 mVpp (on), offset 500.0 mV (off), output termination 50 Ohm, phase 0.000 deg
% Channel 2 (off), DC, 200 MHz, 50 Ohm, 1 Vpp, amplitude 50 mVpp (off), offset 0.000 0 V (off), output termination 50 Ohm, phase 0.000 deg
% Logarithmic sweep from 1.000000 MHz to 1.000000 Hz with 128 pts, dynamic amplitude mode off, measuring harmonic 2, delay compensation 229.0 ns (auto), normalization on
% Averaging time 2.00 ms, 1 cycles; Settling time 1.00 ms, 1 cycles
% Internal 10 MHz clock
% Acquired 2026-05-26 T 13:19:23 -0300
% Frequency (Hz), Channel 1 Magnitude (dBm), Channel 1 Phase (deg)
1.60222832e+04, -2.2851e+01, 2.4063e+02
1.43707790e+04, -2.2778e+01, 2.4387e+02
1.28895043e+04, -2.2721e+01, 2.4687e+02
1.15609127e+04, -2.2678e+01, 2.4967e+02
1.03692663e+04, -2.2640e+01, 2.5225e+02
9.30044934e+03, -2.2617e+01, 2.5467e+02
8.34180123e+03, -2.2597e+01, 2.5690e+02
7.48196621e+03, -2.2580e+01, 2.5897e+02
6.71075908e+03, -2.2577e+01, 2.6090e+02
6.01904449e+03, -2.2573e+01, 2.6272e+02
5.39862869e+03, -2.2578e+01, 2.6442e+02
4.84216254e+03, -2.2591e+01, 2.6606e+02
4.34305440e+03, -2.2601e+01, 2.6761e+02
3.89539206e+03, -2.2621e+01, 2.6909e+02
3.49387272e+03, -2.2644e+01, 2.7050e+02
3.13374018e+03, -2.2667e+01, 2.7189e+02
2.81072846e+03, -2.2703e+01, 2.7325e+02
2.52101132e+03, -2.2734e+01, 2.7459e+02
2.26115691e+03, -2.2780e+01, 2.7592e+02
2.02808712e+03, -2.2826e+01, 2.7728e+02
1.81904110e+03, -2.2882e+01, 2.7864e+02
1.63154260e+03, -2.2945e+01, 2.8000e+02
1.46337059e+03, -2.3014e+01, 2.8144e+02
1.31253299e+03, -2.3100e+01, 2.8289e+02
1.17724305e+03, -2.3186e+01, 2.8437e+02
1.05589818e+03, -2.3296e+01, 2.8593e+02
9.47060982e+02, -2.3406e+01, 2.8745e+02
8.49442234e+02, -2.3543e+01, 2.8904e+02
7.61885583e+02, -2.3686e+01, 2.9063e+02
6.83353874e+02, -2.3852e+01, 2.9229e+02
6.12916857e+02, -2.4030e+01, 2.9393e+02
5.49740169e+02, -2.4231e+01, 2.9561e+02
4.93075447e+02, -2.4443e+01, 2.9717e+02
4.42251467e+02, -2.4678e+01, 2.9877e+02
3.96666193e+02, -2.4927e+01, 3.0034e+02
3.55779641e+02, -2.5196e+01, 3.0187e+02
3.19107490e+02, -2.5477e+01, 3.0337e+02
2.86215338e+02, -2.5776e+01, 3.0479e+02
2.56713560e+02, -2.6087e+01, 3.0615e+02
2.30252691e+02, -2.6414e+01, 3.0742e+02
2.06519288e+02, -2.6754e+01, 3.0867e+02
1.85232217e+02, -2.7099e+01, 3.0980e+02
1.66139321e+02, -2.7464e+01, 3.1083e+02
1.49014434e+02, -2.7840e+01, 3.1182e+02
1.33654702e+02, -2.8217e+01, 3.1273e+02
1.19878182e+02, -2.8597e+01, 3.1347e+02
1.07521683e+02, -2.9012e+01, 3.1406e+02
9.64388355e+01, -2.9402e+01, 3.1449e+02
8.64983580e+01, -2.9838e+01, 3.1479e+02
7.75824997e+01, -3.0249e+01, 3.1509e+02
6.95856477e+01, -3.0599e+01, 3.1523e+02
6.24130749e+01, -3.1021e+01, 3.1510e+02
5.59798183e+01, -3.1379e+01, 3.1501e+02
5.02096727e+01, -3.1770e+01, 3.1460e+02
4.50342874e+01, -3.2112e+01, 3.1434e+02
4.03923574e+01, -3.2434e+01, 3.1389e+02
3.62288965e+01, -3.2764e+01, 3.1358e+02
3.24945863e+01, -3.3025e+01, 3.1302e+02
2.91451918e+01, -3.3297e+01, 3.1243e+02
2.61410376e+01, -3.3521e+01, 3.1209e+02
2.34465381e+01, -3.3742e+01, 3.1144e+02
2.10297753e+01, -3.3944e+01, 3.1094e+02
1.88621215e+01, -3.4120e+01, 3.1053e+02
1.69178996e+01, -3.4262e+01, 3.0999e+02
1.51740793e+01, -3.4392e+01, 3.0952e+02
1.36100041e+01, -3.4498e+01, 3.0906e+02
1.22071466e+01, -3.4610e+01, 3.0875e+02
1.09488893e+01, -3.4664e+01, 3.0831e+02
9.82032749e+00, -3.4757e+01, 3.0776e+02
8.80809269e+00, -3.4768e+01, 3.0750e+02
7.90019446e+00, -3.4808e+01, 3.0721e+02
7.08587827e+00, -3.4807e+01, 3.0655e+02
6.35549809e+00, -3.4818e+01, 3.0618e+02
5.70040218e+00, -3.4814e+01, 3.0588e+02
5.11283059e+00, -3.4795e+01, 3.0553e+02
4.58582322e+00, -3.4739e+01, 3.0524e+02
4.11313737e+00, -3.4707e+01, 3.0500e+02
3.68917383e+00, -3.4690e+01, 3.0455e+02
3.30891053e+00, -3.4636e+01, 3.0453e+02
2.96784305e+00, -3.4611e+01, 3.0441e+02
2.66193125e+00, -3.4614e+01, 3.0439e+02
2.38755146e+00, -3.4579e+01, 3.0435e+02
2.14145349e+00, -3.4550e+01, 3.0431e+02
1.92072218e+00, -3.4580e+01, 3.0453e+02
1.72274285e+00, -3.4602e+01, 3.0457e+02
1.54517034e+00, -3.4637e+01, 3.0473e+02
1.38590119e+00, -3.4720e+01, 3.0504e+02
1.24304878e+00, -3.4822e+01, 3.0511e+02
1.11492096e+00, -3.4939e+01, 3.0533e+02
9.99999963e-01, -3.5116e+01, 3.0573e+02
